"('Close', 'A')","('High', 'A')","('Low', 'A')","('Open', 'A')","('Volume', 'A')",sentiment_score,sentiment_label
105.19000244140625,106.20999908447266,104.0,104.94000244140625,1906700.0,0.0312,neutral
103.12000274658203,105.25,102.54000091552734,104.30000305175781,1326700.0,0.0312,neutral
102.69999694824219,104.83000183105469,101.87000274658203,103.22000122070312,1454400.0,0.0312,neutral
102.4800033569336,103.5,101.36000061035156,102.62999725341797,1769900.0,0.0299,neutral
100.26000213623047,102.04000091552734,99.12000274658203,101.8499984741211,2321800.0,0.0464,neutral
102.80999755859375,103.94000244140625,101.19999694824219,102.0,2321500.0,0.0464,neutral
105.0,109.62000274658203,104.75,106.66999816894531,2236200.0,0.027,neutral
107.0199966430664,107.08000183105469,103.16000366210938,105.41999816894531,1989400.0,0.027,neutral
106.27999877929688,106.43000030517578,104.3499984741211,105.87000274658203,1120600.0,0.0265,neutral
106.87000274658203,108.55999755859375,105.38999938964844,107.3499984741211,1689700.0,0.0311,neutral
107.45999908447266,108.0199966430664,105.77999877929688,106.9000015258789,1201800.0,0.0452,neutral
107.5999984741211,107.94999694824219,105.44999694824219,106.95999908447266,1452200.0,0.0444,neutral
106.45999908447266,108.2300033569336,104.0999984741211,107.25,1523100.0,0.0437,neutral
108.62999725341797,110.33000183105469,107.44999694824219,109.23999786376953,1213100.0,0.012,neutral
108.37000274658203,109.25,107.45999908447266,108.0999984741211,1385500.0,0.0174,neutral
105.23999786376953,108.20999908447266,104.36000061035156,107.25,1960600.0,0.028,neutral
107.5199966430664,107.5999984741211,104.79000091552734,106.69000244140625,2143700.0,0.0445,neutral
108.69999694824219,110.6500015258789,106.55000305175781,108.0,2093300.0,0.0505,positive
106.93000030517578,109.86000061035156,106.79000091552734,108.95999908447266,1369500.0,0.0605,positive
