"('Close', 'MMM')","('High', 'MMM')","('Low', 'MMM')","('Open', 'MMM')","('Volume', 'MMM')",sentiment_score,sentiment_label
136.00999450683594,138.2899932861328,134.42999267578125,138.11000061035156,3815800.0,0.0443,neutral
135.25999450683594,137.47000122070312,135.13999938964844,136.00999450683594,2541700.0,0.0443,neutral
130.4600067138672,134.47999572753906,129.8699951171875,133.50999450683594,5635500.0,0.0538,positive
130.2100067138672,132.9499969482422,130.0800018310547,130.33999633789062,4952000.0,0.0538,positive
126.08999633789062,129.83999633789062,124.6500015258789,129.0,5971800.0,0.0344,neutral
136.3300018310547,137.27000427246094,130.36000061035156,133.2899932861328,7943800.0,0.0344,neutral
136.05999755859375,142.14999389648438,135.1999969482422,139.3800048828125,4655800.0,0.091,positive
138.8800048828125,139.75999450683594,135.1199951171875,135.63999938964844,2921100.0,0.0896,positive
137.32000732421875,139.0,137.10000610351562,139.0,2141300.0,0.0896,positive
137.92999267578125,138.41000366210938,136.0399932861328,137.32000732421875,2499900.0,0.0896,positive
138.3800048828125,139.22000122070312,136.83999633789062,137.5,1917200.0,0.0883,positive
138.91000366210938,139.30999755859375,134.85000610351562,137.6300048828125,3062800.0,0.0828,positive
137.89999389648438,140.25,137.6699981689453,138.27999877929688,2236300.0,0.0783,positive
142.0800018310547,143.0399932861328,139.2899932861328,140.0,2734200.0,0.0661,positive
140.8000030517578,141.8699951171875,139.8699951171875,140.6199951171875,2623500.0,0.0635,positive
138.02000427246094,139.7100067138672,137.6300048828125,139.1300048828125,2850000.0,0.0627,positive
138.63999938964844,139.7899932861328,137.6999969482422,138.27000427246094,2555400.0,0.0682,positive
141.1199951171875,142.36000061035156,139.2100067138672,140.0,2899500.0,0.0643,positive
142.60000610351562,142.6199951171875,140.9600067138672,141.25999450683594,2634100.0,0.07,positive
